Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
स्फिट्ट,sphitta,unknown,"स्फिट्ट [sphiṭṭa], 1 U. (स्फिट्टयति-ते) To hurt &c.; see स्फिट् above.",चोट पहुँचाना आदि
बुस्,bus,unknown,"बुस् [bus], 4 P. (बुस्यति)","छोड़ना, उगलना, उडलना"
खटकामुख,khatakaamukha,masculine,"खटकामुखम् [khaṭakāmukham], A particular position of the hand in shooting. -खः A man in the attitude of sheoting.",बाण चलाते समय हाथ की विशेष अवस्थिति
तातल,taatala,masculine,"तातल [tātala], a.",एक रोग
अट्टालिका,attaalikaa,feminine,"अट्टालिका [aṭṭālikā], [अट्टाल, स्वार्थे कन्]","महल, उत्तुंग भवन"
वनेचर,vanechara,adjective,"वनेचर [vanēcara], a. [वने चरति चर-ट अलुक् स˚] Dwelling in a wood.",जंगल में रहने वाला
डीन,diina,unknown,"डीन [ḍīna], p. p. [डी-क्त] Flown up. -नम् The flight of a bird. The varieties of the flight of birds are said to be 11, the word prefixed to डीन showing the particular mode of flight; e. g. अवडीनम्, उ...",उड़ा हुआ
पृषाकरा,prishaakaraa,feminine,"पृषाकरा [pṛṣākarā], A small stone used as a weight.",छोटा पत्थर
अविचार,avichaara,adjective,"अविचार [avicāra], a.","विचारशून्य,विवेकरहित"
प्रसह्य,prasahya,indeclinable,"प्रसह्य [prasahya], ind.","बलपूर्वक, प्रचण्डता के साथ, जबरदस्ती"
पाञ्चनद,paanychanada,adjective,"पाञ्चनद [pāñcanada], a. (-दी f.) Prevalent in the पञ्चनद or Punjab. -दः A prince of the Punjab.",पंचनद या पंजाब में प्रचलित
कन्यामय,kanyaamaya,adjective,"कन्यामय [kanyāmaya], a. Consisting of, or in the form of, a young girl; कन्यामये नेत्रशतैकलक्ष्ये R.6.11,16.86. -यम् The harem (consisting mostly of girls).","कन्याओं वाला, कन्यास्वरुप"
निश्चिति,nishchiti,feminine,"निश्चितिः [niścitiḥ], f.","निश्चय करना, निर्णय करना"
अङ्गीय,anggiiya,adjective,"अङ्गीय [aṅgīya], a. [अङ्ग-छ]",शरीर संबंधी
पिप्पिका,pippikaa,feminine,"पिप्पिका [pippikā], The tartar of the teeth.",दाँतों पर जमी हुई मैल का पपड़ी
उत्कूलित,utkuulita,adjective,"उत्कूलित [utkūlita], a. Brought to the bank or shore, reaching the bank; प्रतिक्षणोत्कूलितशैवलाभाः Śi.3.7.",किनारे तक पहूँचने वाला
यौक्तिक,yauktika,adjective,"यौक्तिक [yauktika], a. (-की f.) [युक्तित आगत ठक्]","उपयुक्त, योग्य, उचित"
सालन,saalana,masculine,"सालनः [sālanḥ], 1 The resin of the Sāla tree.",साल वृक्ष का राल
पुर,pura,masculine,"पुर [pura], a. [पृ-क] Full of, filled with.","नगर, शहर (बड़े बड़े विशाल भवनों से युक्त, चारों ओर परिखा से घिरा हुआ, तथा विस्तार में जो एक कोस से कम न हो)"
आरोपण,aaropana,masculine,"आरोपणम् [ārōpaṇam], 1 placing or fixing in or upon, putting; आर्द्राक्षतारोपणमन्वभूताम् R.7.28; Ku.7.88; (fig.) establishing, installing; अधिकारारोपणम् Mu.3.","ऊपर रखना या जमाना, रखना, संस्थापन, जमा देना"
मिथ्,mith,unknown,"मिथ् [mith], 1 U. (मेथति-ते)",सहकारी बनना
आशङ्कित,aashangkita,unknown,"आशङ्कित [āśaṅkita], p. p.","भीत, डरा हुआ"
उपहरण,upaharana,masculine,"उपहरणम् [upaharaṇam], 1 Bringing near, fetching.","निकट लाना, जाकर लाना"
औपासन,aupaasana,adjective,"औपासन [aupāsana], a. (-नी f.) [उपासन-अण्]",गृह्याग्नि से संबंध रखने वाला
रूप्य,ruupya,adjective,"रूप्य [rūpya], a. [रूप-यत्]",सुन्दर ललित
कीर्तितव्य,kiirtitavya,adjective,"कीर्तितव्य [kīrtitavya], a. To be praised; श्रोतव्यः कीर्तितव्यश्च.",जिसकी स्तुती की जाती है।
अविषक्त,avishakta,adjective,"अविषक्त [aviṣakta], a. Not clinging or sticking तुभ्यं नमस्ते$स्त्ववि- षक्तदृष्टये Bhāg.1.4.12. Unrestrained, unchecked; अविषक्तवेगः Ki.13.24.","निरवबाध, अनियन्त्रित, जिस पर कोई प्रतिबन्ध न हो"
मीव्,miiv,unknown,"मीव् [mīv], 1 P. (मीवति)","जाना, हिलना-जुलना"
विपदा,vipadaa,feminine,"विपदा [vipadā], विपद् (विपद् [vipad], 4 Ā.).","संकट, दुर्भाग्य, आपदा, दुःख"
लोहितक,lohitaka,adjective,"लोहितक [lōhitaka], a. (-तिका f.) Red.",लाल
विगन्धक,vigandhaka,masculine,"विगन्धकः [vigandhakḥ], The three called इङ्गुदी.",इंगुदी नाम का पेड़
कुटिल,kutila,adjective,"कुटिल [kuṭila], a. [कुट्-इलच्]","टेढ़ा, झुका हुआ, मुड़ा हुआ, घूँघरदार"
सूचित,suuchita,unknown,"सूचित [sūcita], p. p. [सूच्-क्त]","बींधा हुआ, सूराख किया हुआ, छिद्रित"
उद्धान्त,uddhaanta,adjective,"उद्धान्त [uddhānta], a. Ejected, vomited. -तः An elephant out of rut (from whose temples ichor ceases to flow).","उगला हुआ, वमन किया हुआ"
मयिवसु,mayivasu,adjective,"मयिवसु [mayivasu], a. Good in me.",मेरे प्रति शुभ
गर्जा,garjaa,feminine,"गर्जा [garjā] गर्जिः [garjiḥ], गर्जिः The thundering of clouds.","बादलों की गड़गड़ाहट, गरज"
अवस्कन्दिन्,avaskandin,adjective,"अवस्कन्दिन् [avaskandin], a.","आक्रमणकारी, हमलावर, बलात्कार करने वाला ।"
ह्वल्,hval,unknown,"ह्वल् [hval], 1 P. (ह्वलति)","जाना, हिलना-जुलना"
लहरि,lahari,feminine,"लहरिः [lahariḥ] री [rī], री f. A wave, a large wave or billow; करेणो- त्क्षिप्तास्ते जननि बिजयन्तां लहरयः G. L.4; इमां पीयूषलहरीं जगन्नाथेन निर्मिताम् 53; so आनन्द˚, करुणा˚, सुधा˚ &c.","लहर, तरंग, बड़ी लहर, झाल"
रन्ता,rantaa,feminine,"रन्ता [rantā], f. A cow; इडे रन्ते etc; ŚB. on MS.1.3.49.",गाय
पतङ्गिका,patanggikaa,feminine,"पतङ्गिका [pataṅgikā], 1 A small bird.",छोटी चिड़िया
दन्दश,dandasha,masculine,"दन्दशः [dandaśḥ], A tooth.",दाँत
पताकिन्,pataakin,adjective,"पताकिन् [patākin], a. Having or carrying a banner, adorned with flags. -m.","झंडा ले जाने वाला, पताकाओं से अलंकृत"
